ADCMAX: 32767
kP: 1000.00
kI: 0.00
kD: 25.00
MILLIS,DUTY,TARGET,RAW,AVERAGE
117040,58420,3.00,3.000732,3.000275
117377,58420,3.00,3.000580,3.000275
117713,58420,3.00,3.000122,3.000275
118051,58420,3.00,3.000275,3.000275
118388,58420,3.00,3.000122,3.000275
118726,58420,3.00,3.000122,3.000275
119063,58420,3.00,3.000732,3.000275
119401,58420,3.00,3.000732,3.000275
119739,58420,3.00,3.000427,3.000275
120076,58420,3.00,3.000580,3.000275
120415,58420,3.00,3.000275,3.000275
120752,58420,3.00,2.999969,3.000275
121091,58420,3.00,3.000122,3.000275
121426,58420,3.00,2.999969,3.000275
121765,58420,3.00,3.001190,3.000275
122101,58420,3.00,3.000732,3.000275
122439,58420,3.00,3.000885,3.000275
122776,58420,3.00,3.000122,3.000275
123114,58420,3.00,3.000427,3.000275
123452,58420,3.00,3.000427,3.000275
123790,58420,3.00,2.999664,3.000122
124128,58420,3.00,3.000885,3.000122
124465,58420,3.00,3.000885,3.000275
124803,58420,3.00,3.000580,3.000275
125139,58420,3.00,3.000885,3.000275
125477,58420,3.00,3.000427,3.000275
125814,58420,3.00,3.000885,3.000275
126152,58420,3.00,2.999817,3.000275
126489,58420,3.00,3.000122,3.000275
126828,58420,3.00,3.001343,3.000275
127165,58420,3.00,3.000275,3.000427
127504,58420,3.00,3.000885,3.000427
127841,58420,3.00,3.000427,3.000427
128180,58420,3.00,3.000275,3.000427
128516,58420,3.00,3.001038,3.000427
128854,58420,3.00,3.000275,3.000427
129190,58420,3.00,3.000580,3.000427
129528,58420,3.00,3.001190,3.000427
129866,58420,3.00,3.000427,3.000427
130203,58420,3.00,3.000732,3.000427
130541,58420,3.00,3.000580,3.000427
130878,58420,3.00,3.000885,3.000427
131217,58420,3.00,3.000885,3.000427
131553,58420,3.00,3.000427,3.000427
131891,58420,3.00,2.998901,3.000427
132229,58421,3.00,3.001038,3.000427
132567,58421,3.00,3.001190,3.000427
132904,58421,3.00,2.999664,3.000427
133242,58421,3.00,3.000732,3.000427
133579,58421,3.00,3.001495,3.000427
133918,58421,3.00,3.000885,3.000580
134255,58421,3.00,3.001038,3.000580
134594,58421,3.00,3.000732,3.000580
134930,58421,3.00,3.000580,3.000580
135268,58421,3.00,2.999817,3.000580
135605,58421,3.00,2.999664,3.000427
135943,58421,3.00,3.001038,3.000427
136280,58421,3.00,2.999969,3.000427
136616,58421,3.00,3.000580,3.000427
136954,58421,3.00,2.999817,3.000427
137291,58421,3.00,3.000580,3.000427
137630,58421,3.00,3.000732,3.000427
137966,58421,3.00,3.000732,3.000427
138304,58421,3.00,3.001038,3.000427
138641,58421,3.00,3.000427,3.000427
138979,58421,3.00,3.001495,3.000580
139316,58421,3.00,3.001343,3.000580
139654,58421,3.00,3.000580,3.000580
